q0 (),q1,q2,q3
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
1.736415656764125626e-01,1.515346986638344690e-03,-9.847702545505929717e-01,8.593959815734854638e-03
